text,author,term,count
2,Jay,what,2
2,Jay,when,4
2,Jay,which,11
2,Jay,who,8
2,Jay,will,2
2,Jay,with,13
2,Jay,would,5
2,Jay,your,0
3,Jay,-OTHER-,928
3,Jay,a,13
3,Jay,all,4
3,Jay,also,3
3,Jay,an,3
3,Jay,and,60
3,Jay,any,5
3,Jay,are,8
3,Jay,as,24
3,Jay,at,1
3,Jay,be,31
3,Jay,been,2
3,Jay,but,7
3,Jay,by,18
3,Jay,can,3
3,Jay,do,1
3,Jay,down,0
3,Jay,even,1
3,Jay,every,0
3,Jay,for,11
3,Jay,from,15
3,Jay,had,0
3,Jay,has,5
3,Jay,have,7
3,Jay,her,0
3,Jay,his,2
3,Jay,if,7
3,Jay,in,25
3,Jay,into,0
3,Jay,is,7
3,Jay,it,21
3,Jay,its,1
3,Jay,may,6
3,Jay,more,13
3,Jay,must,0
3,Jay,my,0
3,Jay,no,2
3,Jay,not,13
3,Jay,now,0
3,Jay,of,62
3,Jay,on,6
3,Jay,one,8
3,Jay,only,4
3,Jay,or,32
3,Jay,our,0
3,Jay,shall,0
3,Jay,should,4
3,Jay,so,4
3,Jay,some,2
3,Jay,such,5
3,Jay,than,8
3,Jay,that,20
3,Jay,the,93
3,Jay,their,11
3,Jay,then,1
3,Jay,there,1
3,Jay,thing,0
3,Jay,this,6
3,Jay,to,56
3,Jay,up,0
3,Jay,upon,0
3,Jay,was,0
3,Jay,were,1
3,Jay,what,0
3,Jay,when,1
3,Jay,which,11
3,Jay,who,3
3,Jay,will,24
3,Jay,with,10
3,Jay,would,2
3,Jay,your,0
4,Jay,-OTHER-,1035
4,Jay,a,16
4,Jay,all,4
4,Jay,also,2
4,Jay,an,3
4,Jay,and,90
4,Jay,any,5
4,Jay,are,11
4,Jay,as,20
4,Jay,at,2
4,Jay,be,25
4,Jay,been,2
4,Jay,but,10
4,Jay,by,14
4,Jay,can,8
4,Jay,do,2
4,Jay,down,0
4,Jay,even,0
4,Jay,every,0
4,Jay,for,12
4,Jay,from,8
4,Jay,had,3
4,Jay,has,1
4,Jay,have,9
4,Jay,her,0
4,Jay,his,2
4,Jay,if,14
4,Jay,in,24
4,Jay,into,10
4,Jay,is,10
4,Jay,it,28
4,Jay,its,9
4,Jay,may,10
4,Jay,more,13
4,Jay,must,0
4,Jay,my,1
4,Jay,no,1
4,Jay,not,14
4,Jay,now,0
4,Jay,of,72
4,Jay,on,11
4,Jay,one,13
4,Jay,only,4
4,Jay,or,24
4,Jay,our,18
4,Jay,shall,6
4,Jay,should,1
4,Jay,so,5
4,Jay,some,2
4,Jay,such,9
4,Jay,than,9
4,Jay,that,17
4,Jay,the,86
4,Jay,their,19
4,Jay,then,0
4,Jay,there,3
4,Jay,thing,0
4,Jay,this,1
4,Jay,to,51
4,Jay,up,0
4,Jay,upon,0
4,Jay,was,1
4,Jay,were,1
4,Jay,what,7
4,Jay,when,4
4,Jay,which,10
4,Jay,who,3
4,Jay,will,15
4,Jay,with,12
4,Jay,would,17
4,Jay,your,0
5,Jay,-OTHER-,871
5,Jay,a,9
5,Jay,all,4
5,Jay,also,2
5,Jay,an,4
5,Jay,and,72
5,Jay,any,3
5,Jay,are,3
5,Jay,as,3
5,Jay,at,4
5,Jay,be,31
5,Jay,been,0
5,Jay,but,4
5,Jay,by,10
5,Jay,can,1
5,Jay,do,0
5,Jay,down,0
5,Jay,even,2
5,Jay,every,0
5,Jay,for,7
5,Jay,from,11
5,Jay,had,0
5,Jay,has,0
5,Jay,have,1
5,Jay,her,7
5,Jay,his,0
5,Jay,if,3
5,Jay,in,28
5,Jay,into,7
5,Jay,is,7
5,Jay,it,21
5,Jay,its,4
5,Jay,may,2
5,Jay,more,11
5,Jay,must,3
5,Jay,my,0
5,Jay,no,2
5,Jay,not,8
5,Jay,now,0
5,Jay,of,53
5,Jay,on,5
5,Jay,one,10
5,Jay,only,4
5,Jay,or,10
5,Jay,our,7
5,Jay,shall,1
5,Jay,should,4
5,Jay,so,3
5,Jay,some,2
5,Jay,such,3
5,Jay,than,9
5,Jay,that,23
5,Jay,the,66
5,Jay,their,11
5,Jay,then,2
5,Jay,there,0
5,Jay,thing,1
5,Jay,this,6
5,Jay,to,45
5,Jay,up,0
5,Jay,upon,0
5,Jay,was,3
5,Jay,were,6
5,Jay,what,2
5,Jay,when,1
5,Jay,which,10
5,Jay,who,3
5,Jay,will,6
5,Jay,with,11
5,Jay,would,37
5,Jay,your,3
6,Hamilton,-OTHER-,1401
6,Hamilton,a,47
6,Hamilton,all,5
6,Hamilton,also,0
6,Hamilton,an,11
6,Hamilton,and,74
6,Hamilton,any,0
6,Hamilton,are,18
6,Hamilton,as,19
6,Hamilton,at,6
6,Hamilton,be,18
6,Hamilton,been,12
6,Hamilton,but,3
6,Hamilton,by,11
6,Hamilton,can,2
6,Hamilton,do,0
6,Hamilton,down,0
6,Hamilton,even,0
6,Hamilton,every,1
6,Hamilton,for,13
6,Hamilton,from,14
6,Hamilton,had,4
6,Hamilton,has,10
6,Hamilton,have,27
6,Hamilton,her,2
6,Hamilton,his,3
6,Hamilton,if,5
6,Hamilton,in,55
6,Hamilton,into,7
6,Hamilton,is,8
6,Hamilton,it,11
6,Hamilton,its,0
6,Hamilton,may,3
6,Hamilton,more,8
6,Hamilton,must,1
6,Hamilton,my,0
6,Hamilton,no,0
6,Hamilton,not,16
6,Hamilton,now,1
6,Hamilton,of,154
6,Hamilton,on,2
6,Hamilton,one,3
6,Hamilton,only,1
6,Hamilton,or,19
6,Hamilton,our,4
6,Hamilton,shall,1
6,Hamilton,should,2
6,Hamilton,so,4
6,Hamilton,some,4
6,Hamilton,such,3
6,Hamilton,than,6
6,Hamilton,that,22
6,Hamilton,the,168
6,Hamilton,their,13
6,Hamilton,then,0
6,Hamilton,there,8
6,Hamilton,thing,0
6,Hamilton,this,11
6,Hamilton,to,58
6,Hamilton,up,0
6,Hamilton,upon,4
6,Hamilton,was,10
6,Hamilton,were,5
6,Hamilton,what,2
6,Hamilton,when,0
6,Hamilton,which,21
6,Hamilton,who,7
6,Hamilton,will,6
6,Hamilton,with,11
6,Hamilton,would,6
6,Hamilton,your,0
7,Hamilton,-OTHER-,1434
7,Hamilton,a,48
7,Hamilton,all,12
7,Hamilton,also,0
7,Hamilton,an,15
7,Hamilton,and,51
7,Hamilton,any,7
7,Hamilton,are,7
7,Hamilton,as,19
7,Hamilton,at,11
7,Hamilton,be,47
7,Hamilton,been,8
7,Hamilton,but,3
7,Hamilton,by,28
7,Hamilton,can,3
7,Hamilton,do,0
7,Hamilton,down,0
7,Hamilton,even,4
7,Hamilton,every,1
7,Hamilton,for,14
7,Hamilton,from,11
7,Hamilton,had,7
7,Hamilton,has,4
7,Hamilton,have,23
7,Hamilton,her,4
7,Hamilton,his,0
7,Hamilton,if,12
7,Hamilton,in,43
7,Hamilton,into,2
7,Hamilton,is,14
7,Hamilton,it,17
7,Hamilton,its,2
7,Hamilton,may,3
7,Hamilton,more,6
7,Hamilton,must,3
7,Hamilton,my,0
7,Hamilton,no,3
7,Hamilton,not,14
7,Hamilton,now,0
7,Hamilton,of,158
7,Hamilton,on,14
7,Hamilton,one,4
7,Hamilton,only,1
7,Hamilton,or,10
7,Hamilton,our,5
7,Hamilton,shall,1
7,Hamilton,should,7
7,Hamilton,so,4
7,Hamilton,some,7
7,Hamilton,such,3
7,Hamilton,than,5
7,Hamilton,that,27
7,Hamilton,the,208
7,Hamilton,their,18
7,Hamilton,then,0
7,Hamilton,there,9
7,Hamilton,thing,0
7,Hamilton,this,22
7,Hamilton,to,82
7,Hamilton,up,1
7,Hamilton,upon,11
7,Hamilton,was,7
7,Hamilton,were,9
7,Hamilton,what,3
7,Hamilton,when,1
7,Hamilton,which,24
7,Hamilton,who,2
7,Hamilton,will,1
7,Hamilton,with,12
7,Hamilton,would,51
7,Hamilton,your,0
8,Hamilton,-OTHER-,1315
8,Hamilton,a,46
8,Hamilton,all,9
8,Hamilton,also,1
8,Hamilton,an,13
8,Hamilton,and,54
8,Hamilton,any,2
8,Hamilton,are,14
8,Hamilton,as,16
8,Hamilton,at,11
8,Hamilton,be,35
8,Hamilton,been,16
8,Hamilton,but,10
8,Hamilton,by,11
8,Hamilton,can,1
8,Hamilton,do,0
8,Hamilton,down,0
8,Hamilton,even,2
8,Hamilton,every,3
8,Hamilton,for,9
8,Hamilton,from,9
8,Hamilton,had,3
8,Hamilton,has,8
8,Hamilton,have,18
8,Hamilton,her,2
8,Hamilton,his,0
8,Hamilton,if,7
8,Hamilton,in,42
8,Hamilton,into,5
8,Hamilton,is,21
8,Hamilton,it,20
8,Hamilton,its,10
8,Hamilton,may,8
8,Hamilton,more,8
8,Hamilton,must,3
8,Hamilton,my,0
8,Hamilton,no,4
8,Hamilton,not,12
8,Hamilton,now,1
8,Hamilton,of,135
8,Hamilton,on,11
8,Hamilton,one,6
8,Hamilton,only,2
8,Hamilton,or,17
8,Hamilton,our,5
8,Hamilton,shall,0
8,Hamilton,should,5
8,Hamilton,so,5
8,Hamilton,some,2
8,Hamilton,such,5
8,Hamilton,than,3
8,Hamilton,that,18
8,Hamilton,the,158
8,Hamilton,their,16
8,Hamilton,then,0
8,Hamilton,there,2
8,Hamilton,thing,0
8,Hamilton,this,19
8,Hamilton,to,80
8,Hamilton,up,3
8,Hamilton,upon,3
8,Hamilton,was,1
8,Hamilton,were,0
8,Hamilton,what,0
8,Hamilton,when,0
8,Hamilton,which,26
8,Hamilton,who,0
8,Hamilton,will,11
8,Hamilton,with,13
8,Hamilton,would,27
8,Hamilton,your,0
9,Hamilton,-OTHER-,1236
9,Hamilton,a,47
9,Hamilton,all,8
9,Hamilton,also,1
9,Hamilton,an,13
9,Hamilton,and,45
9,Hamilton,any,4
9,Hamilton,are,14
9,Hamilton,as,19
9,Hamilton,at,10
9,Hamilton,be,26
9,Hamilton,been,15
9,Hamilton,but,6
9,Hamilton,by,13
9,Hamilton,can,1
9,Hamilton,do,0
9,Hamilton,down,0
9,Hamilton,even,1
9,Hamilton,every,2
9,Hamilton,for,10
9,Hamilton,from,7
9,Hamilton,had,5
9,Hamilton,has,12
9,Hamilton,have,24
9,Hamilton,her,0
9,Hamilton,his,4
9,Hamilton,if,7
9,Hamilton,in,37
9,Hamilton,into,5
9,Hamilton,is,16
9,Hamilton,it,24
9,Hamilton,its,5
9,Hamilton,may,5
9,Hamilton,more,6
9,Hamilton,must,1
9,Hamilton,my,0
9,Hamilton,no,2
9,Hamilton,not,13
9,Hamilton,now,2
9,Hamilton,of,155
9,Hamilton,on,9
9,Hamilton,one,12
9,Hamilton,only,3
9,Hamilton,or,11
9,Hamilton,our,0
9,Hamilton,shall,4
9,Hamilton,should,5
9,Hamilton,so,5
9,Hamilton,some,2
9,Hamilton,such,5
9,Hamilton,than,1
9,Hamilton,that,25
9,Hamilton,the,170
9,Hamilton,their,14
9,Hamilton,then,1
9,Hamilton,there,3
9,Hamilton,thing,2
9,Hamilton,this,15
9,Hamilton,to,71
9,Hamilton,up,0
9,Hamilton,upon,4
9,Hamilton,was,2
9,Hamilton,were,11
9,Hamilton,what,0
9,Hamilton,when,1
9,Hamilton,which,25
9,Hamilton,who,3
9,Hamilton,will,7
9,Hamilton,with,14
9,Hamilton,would,8
9,Hamilton,your,0
10,Madison,-OTHER-,1877
10,Madison,a,78
10,Madison,all,4
10,Madison,also,0
10,Madison,an,14
10,Madison,and,121
10,Madison,any,4
10,Madison,are,27
10,Madison,as,20
10,Madison,at,8
10,Madison,be,61
10,Madison,been,9
10,Madison,but,11
10,Madison,by,39
10,Madison,can,4
10,Madison,do,0
10,Madison,down,0
10,Madison,even,0
10,Madison,every,3
10,Madison,for,18
10,Madison,from,12
10,Madison,had,1
10,Madison,has,4
10,Madison,have,16
10,Madison,her,0
10,Madison,his,8
10,Madison,if,6
10,Madison,in,63
10,Madison,into,9
10,Madison,is,42
10,Madison,it,47
10,Madison,its,9
10,Madison,may,16
10,Madison,more,12
10,Madison,must,10
10,Madison,my,0
10,Madison,no,5
10,Madison,not,14
10,Madison,now,0
10,Madison,of,157
10,Madison,on,18
10,Madison,one,8
10,Madison,only,2
10,Madison,or,22
10,Madison,our,8
10,Madison,shall,2
10,Madison,should,0
10,Madison,so,4
10,Madison,some,3
10,Madison,such,8
10,Madison,than,13
10,Madison,that,31
10,Madison,the,261
10,Madison,their,21
10,Madison,then,2
10,Madison,there,6
10,Madison,thing,0
10,Madison,this,11
10,Madison,to,100
10,Madison,up,1
10,Madison,upon,0
10,Madison,was,2
10,Madison,were,0
10,Madison,what,5
10,Madison,when,2
10,Madison,which,39
10,Madison,who,9
10,Madison,will,30
10,Madison,with,11
10,Madison,would,6
10,Madison,your,0
11,Hamilton,-OTHER-,1521
11,Hamilton,a,69
11,Hamilton,all,13
11,Hamilton,also,1
11,Hamilton,an,15
11,Hamilton,and,70
11,Hamilton,any,4
11,Hamilton,are,9
11,Hamilton,as,21
11,Hamilton,at,11
11,Hamilton,be,44
11,Hamilton,been,3
11,Hamilton,but,8
11,Hamilton,by,20
11,Hamilton,can,5
11,Hamilton,do,2
11,Hamilton,down,0
11,Hamilton,even,3
11,Hamilton,every,3
11,Hamilton,for,18
11,Hamilton,from,19
11,Hamilton,had,1
11,Hamilton,has,8
11,Hamilton,have,15
11,Hamilton,her,13
11,Hamilton,his,1
11,Hamilton,if,6
11,Hamilton,in,66
11,Hamilton,into,4
11,Hamilton,is,9
11,Hamilton,it,21
11,Hamilton,its,6
11,Hamilton,may,9
11,Hamilton,more,9
11,Hamilton,must,2
11,Hamilton,my,0
11,Hamilton,no,5
11,Hamilton,not,20
11,Hamilton,now,1
11,Hamilton,of,180
11,Hamilton,on,5
11,Hamilton,one,5
11,Hamilton,only,5
11,Hamilton,or,12
11,Hamilton,our,35
11,Hamilton,shall,3
11,Hamilton,should,3
11,Hamilton,so,5
11,Hamilton,some,2
11,Hamilton,such,6
11,Hamilton,than,6
11,Hamilton,that,25
11,Hamilton,the,188
11,Hamilton,their,11
11,Hamilton,then,2
11,Hamilton,there,8
11,Hamilton,thing,0
11,Hamilton,this,24
11,Hamilton,to,84
11,Hamilton,up,0
11,Hamilton,upon,6
11,Hamilton,was,0
11,Hamilton,were,2
11,Hamilton,what,3
11,Hamilton,when,4
11,Hamilton,which,25
11,Hamilton,who,5
11,Hamilton,will,17
11,Hamilton,with,22
11,Hamilton,would,50
11,Hamilton,your,0
12,Hamilton,-OTHER-,1359
12,Hamilton,a,47
12,Hamilton,all,7
12,Hamilton,also,1
12,Hamilton,an,11
12,Hamilton,and,62
12,Hamilton,any,7
12,Hamilton,are,15
12,Hamilton,as,19
12,Hamilton,at,13
12,Hamilton,be,40
12,Hamilton,been,8
12,Hamilton,but,8
12,Hamilton,by,15
12,Hamilton,can,2
12,Hamilton,do,0
12,Hamilton,down,0
12,Hamilton,even,2
12,Hamilton,every,4
12,Hamilton,for,8
12,Hamilton,from,19
12,Hamilton,had,3
12,Hamilton,has,13
12,Hamilton,have,13
12,Hamilton,her,1
12,Hamilton,his,2
12,Hamilton,if,7
12,Hamilton,in,54
12,Hamilton,into,7
12,Hamilton,is,22
12,Hamilton,it,26
12,Hamilton,its,8
12,Hamilton,may,3
12,Hamilton,more,5
12,Hamilton,must,16
12,Hamilton,my,1
12,Hamilton,no,2
12,Hamilton,not,6
12,Hamilton,now,1
12,Hamilton,of,141
12,Hamilton,on,12
12,Hamilton,one,5
12,Hamilton,only,0
12,Hamilton,or,7
12,Hamilton,our,5
12,Hamilton,shall,1
12,Hamilton,should,4
12,Hamilton,so,6
12,Hamilton,some,2
12,Hamilton,such,3
12,Hamilton,than,4
12,Hamilton,that,27
12,Hamilton,the,177
12,Hamilton,their,14
12,Hamilton,then,0
12,Hamilton,there,9
12,Hamilton,thing,0
12,Hamilton,this,17
12,Hamilton,to,82
12,Hamilton,up,0
12,Hamilton,upon,7
12,Hamilton,was,0
12,Hamilton,were,0
12,Hamilton,what,2
12,Hamilton,when,0
12,Hamilton,which,23
12,Hamilton,who,1
12,Hamilton,will,11
12,Hamilton,with,18
12,Hamilton,would,22
12,Hamilton,your,0
13,Hamilton,-OTHER-,565
13,Hamilton,a,26
13,Hamilton,all,3
13,Hamilton,also,1
13,Hamilton,an,3
13,Hamilton,and,18
13,Hamilton,any,3
13,Hamilton,are,4
13,Hamilton,as,8
13,Hamilton,at,1
13,Hamilton,be,25
13,Hamilton,been,2
13,Hamilton,but,2
13,Hamilton,by,5
13,Hamilton,can,4
13,Hamilton,do,1
13,Hamilton,down,0
13,Hamilton,even,1
13,Hamilton,every,3
13,Hamilton,for,2
13,Hamilton,from,5
13,Hamilton,had,0
13,Hamilton,has,2
13,Hamilton,have,4
13,Hamilton,her,10
13,Hamilton,his,0
13,Hamilton,if,6
13,Hamilton,in,14
13,Hamilton,into,7
13,Hamilton,is,9
13,Hamilton,it,6
13,Hamilton,its,2
13,Hamilton,may,8
13,Hamilton,more,6
13,Hamilton,must,3
13,Hamilton,my,0
13,Hamilton,no,4
13,Hamilton,not,5
13,Hamilton,now,0
13,Hamilton,of,58
13,Hamilton,on,3
13,Hamilton,one,9
13,Hamilton,only,0
13,Hamilton,or,3
13,Hamilton,our,0
13,Hamilton,shall,3
13,Hamilton,should,0
13,Hamilton,so,3
13,Hamilton,some,0
13,Hamilton,such,1
13,Hamilton,than,10
13,Hamilton,that,18
13,Hamilton,the,74
13,Hamilton,their,1
13,Hamilton,then,0
13,Hamilton,there,9
13,Hamilton,thing,0
13,Hamilton,this,5
13,Hamilton,to,43
13,Hamilton,up,1
13,Hamilton,upon,2
13,Hamilton,was,0
13,Hamilton,were,0
13,Hamilton,what,0
13,Hamilton,when,4
13,Hamilton,which,11
13,Hamilton,who,3
13,Hamilton,will,9
13,Hamilton,with,10
13,Hamilton,would,14
13,Hamilton,your,0
14,Madison,-OTHER-,1276
14,Madison,a,37
14,Madison,all,6
14,Madison,also,1
14,Madison,an,9
14,Madison,and,60
14,Madison,any,3
14,Madison,are,7
14,Madison,as,24
14,Madison,at,7
14,Madison,be,45
14,Madison,been,9
14,Madison,but,4
14,Madison,by,18
14,Madison,can,9
14,Madison,do,0
14,Madison,down,0
14,Madison,even,2
14,Madison,every,1
14,Madison,for,20
14,Madison,from,11
14,Madison,had,3
14,Madison,has,8
14,Madison,have,17
14,Madison,her,3
14,Madison,his,0
14,Madison,if,6
14,Madison,in,40
14,Madison,into,2
14,Madison,is,25
14,Madison,it,31
14,Madison,its,8
14,Madison,may,16
14,Madison,more,8
14,Madison,must,2
14,Madison,my,2
14,Madison,no,10
14,Madison,not,13
14,Madison,now,2
14,Madison,of,124
14,Madison,on,17
14,Madison,one,2
14,Madison,only,4
14,Madison,or,11
14,Madison,our,12
14,Madison,shall,0
14,Madison,should,2
14,Madison,so,6
14,Madison,some,7
14,Madison,such,2
14,Madison,than,5
14,Madison,that,33
14,Madison,the,202
14,Madison,their,19
14,Madison,then,0
14,Madison,there,0
14,Madison,thing,0
14,Madison,this,13
14,Madison,to,72
14,Madison,up,0
14,Madison,upon,0
14,Madison,was,3
14,Madison,were,3
14,Madison,what,2
14,Madison,when,0
14,Madison,which,40
14,Madison,who,1
14,Madison,will,26
14,Madison,with,7
14,Madison,would,5
14,Madison,your,5
15,Hamilton,-OTHER-,1832
15,Hamilton,a,69
15,Hamilton,all,21
15,Hamilton,also,0
15,Hamilton,an,18
15,Hamilton,and,74
15,Hamilton,any,3
15,Hamilton,are,22
15,Hamilton,as,15
15,Hamilton,at,24
15,Hamilton,be,44
15,Hamilton,been,14
15,Hamilton,but,8
15,Hamilton,by,32
15,Hamilton,can,14
15,Hamilton,do,5
15,Hamilton,down,1
15,Hamilton,even,3
15,Hamilton,every,8
15,Hamilton,for,18
15,Hamilton,from,22
15,Hamilton,had,2
15,Hamilton,has,14
15,Hamilton,have,31
15,Hamilton,her,0
15,Hamilton,his,1
15,Hamilton,if,7
15,Hamilton,in,73
15,Hamilton,into,4
15,Hamilton,is,48
15,Hamilton,it,30
15,Hamilton,its,8
15,Hamilton,may,7
15,Hamilton,more,6
15,Hamilton,must,9
15,Hamilton,my,3
15,Hamilton,no,6
15,Hamilton,not,16
15,Hamilton,now,2
15,Hamilton,of,196
15,Hamilton,on,10
15,Hamilton,one,1
15,Hamilton,only,8
15,Hamilton,or,38
15,Hamilton,our,20
15,Hamilton,shall,1
15,Hamilton,should,6
15,Hamilton,so,2
15,Hamilton,some,2
15,Hamilton,such,2
15,Hamilton,than,10
15,Hamilton,that,38
15,Hamilton,the,254
15,Hamilton,their,7
15,Hamilton,then,0
15,Hamilton,there,18
15,Hamilton,thing,2
15,Hamilton,this,24
15,Hamilton,to,117
15,Hamilton,up,1
15,Hamilton,upon,10
15,Hamilton,was,3
15,Hamilton,were,8
15,Hamilton,what,3
15,Hamilton,when,4
15,Hamilton,which,55
15,Hamilton,who,6
15,Hamilton,will,19
15,Hamilton,with,19
15,Hamilton,would,13
15,Hamilton,your,2
16,Hamilton,-OTHER-,1153
16,Hamilton,a,37
16,Hamilton,all,9
16,Hamilton,also,0
16,Hamilton,an,13
16,Hamilton,and,42
16,Hamilton,any,11
16,Hamilton,are,3
16,Hamilton,as,19
16,Hamilton,at,11
16,Hamilton,be,55
16,Hamilton,been,7
16,Hamilton,but,6
16,Hamilton,by,13
16,Hamilton,can,1
16,Hamilton,do,2
16,Hamilton,down,1
16,Hamilton,even,5
16,Hamilton,every,1
16,Hamilton,for,9
16,Hamilton,from,11
16,Hamilton,had,5
16,Hamilton,has,7
16,Hamilton,have,12
16,Hamilton,her,0
16,Hamilton,his,0
16,Hamilton,if,14
16,Hamilton,in,39
16,Hamilton,into,3
16,Hamilton,is,14
16,Hamilton,it,37
16,Hamilton,its,17
16,Hamilton,may,5
16,Hamilton,more,6
16,Hamilton,must,9
16,Hamilton,my,0
16,Hamilton,no,6
16,Hamilton,not,20
16,Hamilton,now,1
16,Hamilton,of,143
16,Hamilton,on,4
16,Hamilton,one,2
16,Hamilton,only,3
16,Hamilton,or,17
16,Hamilton,our,2
16,Hamilton,shall,1
16,Hamilton,should,6
16,Hamilton,so,3
16,Hamilton,some,3
16,Hamilton,such,4
16,Hamilton,than,4
16,Hamilton,that,16
16,Hamilton,the,193
16,Hamilton,their,12
16,Hamilton,then,0
16,Hamilton,there,4
16,Hamilton,thing,0
16,Hamilton,this,18
16,Hamilton,to,89
16,Hamilton,up,0
16,Hamilton,upon,6
16,Hamilton,was,0
16,Hamilton,were,7
16,Hamilton,what,2
16,Hamilton,when,4
16,Hamilton,which,22
16,Hamilton,who,5
16,Hamilton,will,5
16,Hamilton,with,13
16,Hamilton,would,36
16,Hamilton,your,0
17,Hamilton,-OTHER-,976
17,Hamilton,a,30
17,Hamilton,all,12
17,Hamilton,also,0
17,Hamilton,an,9
17,Hamilton,and,52
17,Hamilton,any,2
17,Hamilton,are,5
17,Hamilton,as,3
17,Hamilton,at,7
17,Hamilton,be,24
17,Hamilton,been,3
17,Hamilton,but,3
17,Hamilton,by,9
17,Hamilton,can,2
17,Hamilton,do,0
17,Hamilton,down,0
17,Hamilton,even,0
17,Hamilton,every,1
17,Hamilton,for,11
17,Hamilton,from,5
17,Hamilton,had,3
17,Hamilton,has,4
17,Hamilton,have,4
17,Hamilton,her,0
17,Hamilton,his,7
17,Hamilton,if,2
17,Hamilton,in,29
17,Hamilton,into,3
17,Hamilton,is,11
17,Hamilton,it,16
17,Hamilton,its,6
17,Hamilton,may,4
17,Hamilton,more,9
17,Hamilton,must,1
17,Hamilton,my,1
17,Hamilton,no,0
17,Hamilton,not,4
17,Hamilton,now,0
17,Hamilton,of,110
17,Hamilton,on,2
17,Hamilton,one,2
17,Hamilton,only,0
17,Hamilton,or,13
17,Hamilton,our,2
17,Hamilton,shall,1
17,Hamilton,should,2
17,Hamilton,so,4
17,Hamilton,some,1
17,Hamilton,such,0
17,Hamilton,than,5
17,Hamilton,that,21
17,Hamilton,the,162
17,Hamilton,their,10
17,Hamilton,then,0
17,Hamilton,there,4
17,Hamilton,thing,0
17,Hamilton,this,11
17,Hamilton,to,58
17,Hamilton,up,0
17,Hamilton,upon,6
17,Hamilton,was,6
17,Hamilton,were,4
17,Hamilton,what,1
17,Hamilton,when,1
17,Hamilton,which,24
17,Hamilton,who,2
17,Hamilton,will,12
17,Hamilton,with,10
17,Hamilton,would,12
17,Hamilton,your,0
18,,-OTHER-,1392
18,,a,37
18,,all,8
18,,also,0
18,,an,5
18,,and,79
18,,any,2
18,,are,2
18,,as,14
18,,at,4
18,,be,6
18,,been,4
18,,but,7
18,,by,33
18,,can,0
18,,do,0
18,,down,0
18,,even,1
18,,every,0
18,,for,7
18,,from,10
18,,had,23
18,,has,0
18,,have,5
18,,her,5
18,,his,8
18,,if,0
18,,in,41
